Serial_number,csa_id,csa_name,chat_id,date,issue_type,chat_duration,Status_of_chat,Issue_resolved_review,CCXU,Concession_given,Concession_amount
7853,11235,Kunal,CH07853,1/27/2026,Account Locked,25,Resolved,Yes,4,Yes,55
7854,11222,Amit,CH07854,1/12/2026,Account Locked,15,Parked,Not sent,2,No,0
7855,11239,Sameer,CH07855,1/30/2026,Refund Not Received,3,Resolved,No,4,No,0
7856,11239,Sameer,CH07856,1/26/2026,Item Missing,24,Resolved,No response,5,Yes,91
7857,11235,Kunal,CH07857,1/20/2026,Account Locked,9,Resolved,No,5,No,0
7858,11232,Vivek,CH07858,1/21/2026,Order Cancelled Issue,15,Resolved,Yes,5,Yes,85
7859,11228,Muskan,CH07859,1/8/2026,Wrong Amount Charged,20,Transfer,Not sent,4,No,0
7860,11232,Vivek,CH07860,1/1/2026,Delivered Not Received,17,Resolved,Yes,5,No,0
7861,11237,Sona,CH07861,1/21/2026,Payment Failed,6,Resolved,Yes,5,Yes,87
7862,11230,Pawan,CH07862,1/10/2026,Item Missing,6,Resolved,No,5,Yes,185
7863,11223,Neha,CH07863,1/20/2026,Unknown Charge,14,Resolved,Yes,5,Yes,76
7864,11234,Mohan,CH07864,1/6/2026,Wrong Amount Charged,3,Escalated,No response,2,No,0
7865,11236,Shakshi,CH07865,1/15/2026,Unknown Charge,12,Parked,Not sent,2,No,0
7866,11235,Kunal,CH07866,1/15/2026,Unknown Charge,23,Transfer,Not sent,3,No,0
7867,11225,Kareem,CH07867,1/16/2026,Item Missing,6,Transfer,Not sent,2,No,0
7868,11226,Akash,CH07868,1/22/2026,Wrong Amount Charged,12,Escalated,No response,2,No,0
7869,11228,Muskan,CH07869,1/21/2026,Delivered Not Received,12,Resolved,Yes,4,Yes,51
7870,11230,Pawan,CH07870,1/18/2026,Item Missing,13,Resolved,Yes,5,Yes,39
7871,11228,Muskan,CH07871,1/10/2026,Order Cancelled Issue,17,Transfer,Not sent,4,No,0
7872,11230,Pawan,CH07872,1/24/2026,Whole Package Missing,6,Resolved,Yes,4,Yes,99
7873,11234,Mohan,CH07873,1/3/2026,Wrong Amount Charged,6,Parked,Not sent,3,No,0
7874,11237,Sona,CH07874,1/2/2026,Account Locked,8,Escalated,No response,3,No,0
7875,11227,Godavari,CH07875,1/15/2026,Order Cancelled Issue,11,Resolved,No response,5,Yes,94
7876,11226,Akash,CH07876,1/2/2026,Refund Not Received,8,Resolved,No response,5,Yes,45
7877,11221,Anuj,CH07877,1/11/2026,Whole Package Missing,12,Resolved,Yes,4,Yes,30
7878,11224,Jameel,CH07878,1/11/2026,Stuck in Shipment,7,Resolved,Yes,4,Yes,92
7879,11223,Neha,CH07879,1/20/2026,Payment Failed,14,Resolved,Yes,5,No,0
7880,11234,Mohan,CH07880,1/22/2026,Whole Package Missing,15,Transfer,Not sent,4,No,0
7881,11224,Jameel,CH07881,1/20/2026,Refund Not Received,3,Resolved,Yes,5,Yes,57
7882,11232,Vivek,CH07882,1/28/2026,Delivered Not Received,4,Resolved,No response,4,No,0
7883,11225,Kareem,CH07883,1/10/2026,Order Cancelled Issue,13,Transfer,Not sent,3,No,0
7884,11230,Pawan,CH07884,1/20/2026,Wrong Amount Charged,12,Transfer,Not sent,4,No,0
7885,11227,Godavari,CH07885,1/12/2026,Unknown Charge,22,Parked,Not sent,2,No,0
7886,11224,Jameel,CH07886,1/9/2026,Stuck in Shipment,12,Resolved,Yes,4,Yes,60
7887,11227,Godavari,CH07887,1/26/2026,Order Cancelled Issue,20,Resolved,Yes,5,Yes,74
7888,11222,Amit,CH07888,1/2/2026,Unknown Charge,5,Resolved,Yes,4,Yes,40
7889,11226,Akash,CH07889,1/10/2026,Refund Not Received,11,Escalated,Yes,2,No,0
7890,11225,Kareem,CH07890,1/10/2026,Account Locked,20,Resolved,Yes,5,Yes,49
7891,11237,Sona,CH07891,1/12/2026,Account Locked,11,Transfer,Not sent,3,No,0
7892,11236,Shakshi,CH07892,1/30/2026,Account Locked,20,Parked,Not sent,2,No,0
7893,11237,Sona,CH07893,1/28/2026,Payment Failed,8,Transfer,Not sent,4,No,0
7894,11240,Santosh,CH07894,1/14/2026,Delivered Not Received,13,Resolved,Yes,5,Yes,52
7895,11236,Shakshi,CH07895,1/12/2026,Wrong Amount Charged,6,Resolved,Yes,4,Yes,82
7896,11225,Kareem,CH07896,1/22/2026,Whole Package Missing,12,Parked,Not sent,2,No,0
7897,11233,Naman,CH07897,1/12/2026,Refund Not Received,17,Resolved,Yes,4,Yes,89
7898,11224,Jameel,CH07898,1/28/2026,Order Cancelled Issue,11,Transfer,Not sent,3,No,0
7899,11233,Naman,CH07899,1/17/2026,Delivered Not Received,18,Resolved,Yes,4,Yes,53
7900,11231,Venkat,CH07900,1/21/2026,Whole Package Missing,17,Resolved,Yes,5,Yes,53
7901,11223,Neha,CH07901,1/16/2026,Whole Package Missing,6,Resolved,Yes,5,Yes,75
7902,11228,Muskan,CH07902,1/14/2026,Stuck in Shipment,15,Resolved,Yes,5,Yes,38
7903,11239,Sameer,CH07903,1/29/2026,Wrong Amount Charged,4,Resolved,Yes,5,No,0
7904,11227,Godavari,CH07904,1/23/2026,Unknown Charge,14,Escalated,Yes,1,No,0
7905,11223,Neha,CH07905,1/3/2026,Whole Package Missing,19,Resolved,Yes,5,Yes,77
7906,11228,Muskan,CH07906,1/28/2026,Delivered Not Received,13,Transfer,Not sent,4,No,0
7907,11228,Muskan,CH07907,1/20/2026,Unknown Charge,22,Resolved,Yes,5,Yes,50
7908,11224,Jameel,CH07908,1/4/2026,Stuck in Shipment,25,Resolved,No,4,Yes,49
7909,11223,Neha,CH07909,1/28/2026,Wrong Amount Charged,16,Resolved,No response,4,Yes,70
7910,11222,Amit,CH07910,1/18/2026,Wrong Amount Charged,25,Resolved,Yes,4,No,0
7911,11239,Sameer,CH07911,1/4/2026,Order Cancelled Issue,24,Transfer,Not sent,3,No,0
7912,11223,Neha,CH07912,1/28/2026,Wrong Amount Charged,11,Resolved,No response,4,Yes,33
7913,11233,Naman,CH07913,1/6/2026,Whole Package Missing,18,Resolved,Yes,5,Yes,73
7914,11221,Anuj,CH07914,1/5/2026,Unknown Charge,19,Resolved,Yes,5,No,0
7915,11222,Amit,CH07915,1/10/2026,Item Missing,9,Resolved,No,5,Yes,80
7916,11233,Naman,CH07916,1/23/2026,Stuck in Shipment,22,Resolved,Yes,5,Yes,226
7917,11236,Shakshi,CH07917,1/22/2026,Stuck in Shipment,15,Parked,Not sent,3,No,0
7918,11233,Naman,CH07918,1/12/2026,Item Missing,9,Resolved,Yes,4,Yes,45
7919,11223,Neha,CH07919,1/26/2026,Delivered Not Received,18,Resolved,Yes,5,Yes,39
7920,11239,Sameer,CH07920,1/9/2026,Payment Failed,15,Parked,Not sent,3,No,0
7921,11221,Anuj,CH07921,1/9/2026,Item Missing,3,Resolved,No,4,Yes,89
7922,11223,Neha,CH07922,1/10/2026,Unknown Charge,5,Parked,Not sent,3,No,0
7923,11229,Sirisha,CH07923,1/15/2026,Item Missing,23,Resolved,No,5,Yes,85
7924,11222,Amit,CH07924,1/1/2026,Whole Package Missing,7,Transfer,Not sent,3,No,0
7925,11234,Mohan,CH07925,1/27/2026,Item Missing,3,Parked,Not sent,4,No,0
7926,11222,Amit,CH07926,1/14/2026,Refund Not Received,17,Resolved,Yes,4,No,0
7927,11227,Godavari,CH07927,1/6/2026,Payment Failed,8,Resolved,Yes,5,Yes,27
7928,11225,Kareem,CH07928,1/30/2026,Item Missing,4,Resolved,No response,4,Yes,72
7929,11238,Shanti,CH07929,1/10/2026,Account Locked,11,Resolved,Yes,5,Yes,317
7930,11238,Shanti,CH07930,1/15/2026,Refund Not Received,15,Resolved,No response,4,Yes,33
7931,11225,Kareem,CH07931,1/26/2026,Whole Package Missing,25,Resolved,No response,4,Yes,288
7932,11229,Sirisha,CH07932,1/14/2026,Item Missing,9,Escalated,Yes,3,No,0
7933,11228,Muskan,CH07933,1/8/2026,Unknown Charge,16,Transfer,Not sent,3,No,0
7934,11227,Godavari,CH07934,1/23/2026,Order Cancelled Issue,14,Resolved,Yes,4,No,0
7935,11232,Vivek,CH07935,1/10/2026,Item Missing,7,Resolved,Yes,4,Yes,13
7936,11236,Shakshi,CH07936,1/12/2026,Order Cancelled Issue,11,Resolved,Yes,5,No,0
7937,11238,Shanti,CH07937,1/2/2026,Whole Package Missing,12,Resolved,No response,5,Yes,64
7938,11224,Jameel,CH07938,1/28/2026,Payment Failed,11,Escalated,No response,4,No,0
7939,11237,Sona,CH07939,1/23/2026,Refund Not Received,18,Resolved,Yes,5,Yes,32
7940,11227,Godavari,CH07940,1/1/2026,Account Locked,17,Resolved,Yes,5,Yes,63
7941,11233,Naman,CH07941,1/26/2026,Order Cancelled Issue,7,Resolved,Yes,5,No,0
7942,11228,Muskan,CH07942,1/17/2026,Account Locked,6,Resolved,Yes,4,Yes,11
7943,11240,Santosh,CH07943,1/19/2026,Refund Not Received,21,Transfer,Not sent,4,No,0
7944,11231,Venkat,CH07944,1/21/2026,Whole Package Missing,21,Resolved,Yes,4,Yes,84
7945,11240,Santosh,CH07945,1/11/2026,Delivered Not Received,16,Transfer,Not sent,3,No,0
7946,11231,Venkat,CH07946,1/3/2026,Wrong Amount Charged,23,Resolved,No,5,No,0
7947,11236,Shakshi,CH07947,1/12/2026,Refund Not Received,22,Transfer,Not sent,4,No,0
7948,11230,Pawan,CH07948,1/25/2026,Order Cancelled Issue,4,Resolved,Yes,5,Yes,90
7949,11221,Anuj,CH07949,1/20/2026,Payment Failed,15,Resolved,No response,5,No,0
7950,11237,Sona,CH07950,1/15/2026,Payment Failed,19,Resolved,Yes,4,Yes,43
7951,11235,Kunal,CH07951,1/5/2026,Delivered Not Received,20,Parked,Not sent,4,No,0
7952,11240,Santosh,CH07952,1/6/2026,Order Cancelled Issue,5,Parked,Not sent,2,No,0
7953,11229,Sirisha,CH07953,1/30/2026,Item Missing,10,Resolved,No response,5,Yes,68
7954,11236,Shakshi,CH07954,1/6/2026,Order Cancelled Issue,14,Resolved,No response,4,Yes,36
7955,11236,Shakshi,CH07955,1/9/2026,Order Cancelled Issue,16,Resolved,Yes,4,No,0
7956,11239,Sameer,CH07956,1/18/2026,Whole Package Missing,25,Resolved,Yes,5,Yes,87
7957,11221,Anuj,CH07957,1/24/2026,Refund Not Received,16,Escalated,Yes,2,No,0
7958,11238,Shanti,CH07958,1/11/2026,Refund Not Received,3,Escalated,Yes,3,No,0
7959,11236,Shakshi,CH07959,1/11/2026,Wrong Amount Charged,13,Resolved,Yes,5,Yes,61
7960,11237,Sona,CH07960,1/8/2026,Unknown Charge,20,Resolved,No response,5,Yes,68
7961,11224,Jameel,CH07961,1/16/2026,Whole Package Missing,7,Resolved,Yes,5,Yes,70
7962,11227,Godavari,CH07962,1/2/2026,Delivered Not Received,11,Parked,Not sent,3,No,0
7963,11226,Akash,CH07963,1/4/2026,Account Locked,14,Resolved,Yes,5,Yes,148
7964,11221,Anuj,CH07964,1/20/2026,Order Cancelled Issue,17,Resolved,Yes,4,Yes,22
7965,11222,Amit,CH07965,1/10/2026,Refund Not Received,5,Resolved,Yes,5,Yes,44
7966,11239,Sameer,CH07966,1/7/2026,Wrong Amount Charged,25,Transfer,Not sent,3,No,0
7967,11227,Godavari,CH07967,1/11/2026,Account Locked,7,Escalated,No response,3,No,0
7968,11237,Sona,CH07968,1/2/2026,Payment Failed,13,Resolved,No response,5,Yes,18
7969,11233,Naman,CH07969,1/14/2026,Account Locked,11,Resolved,Yes,4,No,0
7970,11221,Anuj,CH07970,1/17/2026,Item Missing,23,Resolved,No response,5,Yes,50
7971,11221,Anuj,CH07971,1/6/2026,Account Locked,25,Escalated,No response,3,No,0
7972,11223,Neha,CH07972,1/15/2026,Payment Failed,9,Resolved,Yes,4,Yes,83
7973,11224,Jameel,CH07973,1/17/2026,Unknown Charge,24,Parked,Not sent,2,No,0
7974,11232,Vivek,CH07974,1/20/2026,Payment Failed,25,Escalated,No response,4,No,0
7975,11230,Pawan,CH07975,1/7/2026,Item Missing,9,Transfer,Not sent,3,No,0
7976,11237,Sona,CH07976,1/2/2026,Payment Failed,25,Transfer,Not sent,2,No,0
7977,11240,Santosh,CH07977,1/25/2026,Unknown Charge,6,Escalated,Yes,4,No,0
7978,11240,Santosh,CH07978,1/19/2026,Account Locked,17,Resolved,No response,5,No,0
7979,11228,Muskan,CH07979,1/15/2026,Order Cancelled Issue,23,Resolved,Yes,5,Yes,91
7980,11238,Shanti,CH07980,1/11/2026,Account Locked,7,Resolved,No,5,Yes,21
7981,11234,Mohan,CH07981,1/10/2026,Account Locked,9,Resolved,Yes,5,Yes,76
7982,11240,Santosh,CH07982,1/16/2026,Payment Failed,4,Escalated,Yes,3,No,0
7983,11231,Venkat,CH07983,1/5/2026,Whole Package Missing,13,Resolved,Yes,4,Yes,75
7984,11239,Sameer,CH07984,1/26/2026,Wrong Amount Charged,25,Resolved,Yes,4,Yes,72
7985,11224,Jameel,CH07985,1/3/2026,Account Locked,18,Resolved,Yes,4,Yes,73
7986,11223,Neha,CH07986,1/6/2026,Delivered Not Received,17,Resolved,Yes,5,Yes,46
7987,11231,Venkat,CH07987,1/12/2026,Whole Package Missing,9,Resolved,Yes,4,Yes,75
7988,11236,Shakshi,CH07988,1/5/2026,Payment Failed,11,Resolved,Yes,5,Yes,60
7989,11236,Shakshi,CH07989,1/4/2026,Account Locked,21,Parked,Not sent,2,No,0
7990,11231,Venkat,CH07990,1/23/2026,Payment Failed,21,Resolved,Yes,4,Yes,31
7991,11233,Naman,CH07991,1/14/2026,Refund Not Received,12,Escalated,Yes,2,No,0
7992,11240,Santosh,CH07992,1/26/2026,Refund Not Received,21,Transfer,Not sent,3,No,0
7993,11225,Kareem,CH07993,1/1/2026,Payment Failed,23,Transfer,Not sent,4,No,0
7994,11234,Mohan,CH07994,1/5/2026,Payment Failed,7,Transfer,Not sent,3,No,0
7995,11231,Venkat,CH07995,1/20/2026,Item Missing,14,Transfer,Not sent,2,No,0
7996,11224,Jameel,CH07996,1/10/2026,Account Locked,21,Resolved,Yes,5,Yes,82
7997,11240,Santosh,CH07997,1/23/2026,Item Missing,19,Escalated,No response,2,No,0
7998,11228,Muskan,CH07998,1/5/2026,Delivered Not Received,9,Transfer,Not sent,3,No,0
7999,11226,Akash,CH07999,1/17/2026,Item Missing,16,Transfer,Not sent,3,No,0
8000,11231,Venkat,CH08000,1/19/2026,Order Cancelled Issue,17,Transfer,Not sent,4,No,0
8001,11226,Akash,CH08001,1/17/2026,Item Missing,20,Transfer,Not sent,2,No,0
8002,11235,Kunal,CH08002,1/26/2026,Item Missing,13,Parked,Not sent,4,No,0
8003,11236,Shakshi,CH08003,1/12/2026,Whole Package Missing,4,Resolved,Yes,4,Yes,53
8004,11240,Santosh,CH08004,1/7/2026,Refund Not Received,6,Parked,Not sent,2,No,0
8005,11227,Godavari,CH08005,1/9/2026,Delivered Not Received,22,Resolved,Yes,4,No,0
8006,11235,Kunal,CH08006,1/20/2026,Wrong Amount Charged,11,Transfer,Not sent,4,No,0
8007,11240,Santosh,CH08007,1/16/2026,Whole Package Missing,9,Resolved,Yes,4,Yes,74
8008,11222,Amit,CH08008,1/17/2026,Order Cancelled Issue,18,Escalated,Yes,1,No,0
8009,11221,Anuj,CH08009,1/6/2026,Delivered Not Received,19,Transfer,Not sent,3,No,0
8010,11238,Shanti,CH08010,1/14/2026,Whole Package Missing,12,Resolved,Yes,5,Yes,36
8011,11234,Mohan,CH08011,1/11/2026,Account Locked,12,Parked,Not sent,2,No,0
8012,11229,Sirisha,CH08012,1/23/2026,Order Cancelled Issue,22,Resolved,No response,4,Yes,82
8013,11225,Kareem,CH08013,1/1/2026,Item Missing,21,Transfer,Not sent,3,No,0
8014,11224,Jameel,CH08014,1/20/2026,Payment Failed,19,Resolved,No response,4,Yes,49
8015,11234,Mohan,CH08015,1/5/2026,Unknown Charge,14,Resolved,Yes,5,No,0
8016,11229,Sirisha,CH08016,1/28/2026,Stuck in Shipment,22,Resolved,Yes,5,Yes,36
8017,11227,Godavari,CH08017,1/30/2026,Refund Not Received,19,Resolved,Yes,5,Yes,84
8018,11223,Neha,CH08018,1/14/2026,Payment Failed,16,Resolved,No,5,Yes,43
8019,11228,Muskan,CH08019,1/27/2026,Delivered Not Received,16,Resolved,Yes,4,Yes,24
8020,11224,Jameel,CH08020,1/27/2026,Payment Failed,19,Parked,Not sent,4,No,0
8021,11221,Anuj,CH08021,1/15/2026,Stuck in Shipment,17,Parked,Not sent,2,No,0
8022,11221,Anuj,CH08022,1/15/2026,Whole Package Missing,5,Escalated,No response,4,No,0
8023,11232,Vivek,CH08023,1/29/2026,Order Cancelled Issue,10,Transfer,Not sent,4,No,0
8024,11226,Akash,CH08024,1/15/2026,Unknown Charge,3,Escalated,Yes,3,No,0
8025,11225,Kareem,CH08025,1/28/2026,Delivered Not Received,7,Escalated,Yes,3,No,0
8026,11235,Kunal,CH08026,1/12/2026,Item Missing,9,Resolved,Yes,4,Yes,90
8027,11230,Pawan,CH08027,1/20/2026,Stuck in Shipment,4,Transfer,Not sent,2,No,0
8028,11229,Sirisha,CH08028,1/10/2026,Payment Failed,17,Resolved,Yes,4,Yes,97
8029,11230,Pawan,CH08029,1/7/2026,Whole Package Missing,17,Resolved,Yes,5,Yes,203
8030,11237,Sona,CH08030,1/2/2026,Account Locked,21,Parked,Not sent,3,No,0
8031,11235,Kunal,CH08031,1/12/2026,Account Locked,15,Resolved,No response,5,Yes,16
8032,11234,Mohan,CH08032,1/7/2026,Stuck in Shipment,3,Transfer,Not sent,4,No,0
8033,11240,Santosh,CH08033,1/21/2026,Account Locked,23,Parked,Not sent,4,No,0
8034,11236,Shakshi,CH08034,1/18/2026,Wrong Amount Charged,4,Resolved,No response,5,Yes,40
8035,11230,Pawan,CH08035,1/25/2026,Item Missing,25,Parked,Not sent,4,No,0
8036,11228,Muskan,CH08036,1/30/2026,Order Cancelled Issue,23,Resolved,Yes,4,Yes,49
8037,11236,Shakshi,CH08037,1/1/2026,Delivered Not Received,8,Escalated,No response,3,No,0
8038,11234,Mohan,CH08038,1/17/2026,Stuck in Shipment,25,Transfer,Not sent,2,No,0
8039,11240,Santosh,CH08039,1/25/2026,Refund Not Received,4,Resolved,Yes,4,Yes,81
8040,11235,Kunal,CH08040,1/17/2026,Account Locked,23,Resolved,No response,4,Yes,33
8041,11230,Pawan,CH08041,1/29/2026,Delivered Not Received,3,Resolved,Yes,4,Yes,78
8042,11228,Muskan,CH08042,1/27/2026,Delivered Not Received,18,Resolved,Yes,5,No,0
8043,11238,Shanti,CH08043,1/2/2026,Refund Not Received,9,Resolved,No,5,Yes,83
8044,11221,Anuj,CH08044,1/3/2026,Order Cancelled Issue,12,Resolved,Yes,5,No,0
8045,11234,Mohan,CH08045,1/21/2026,Order Cancelled Issue,22,Escalated,No response,3,No,0
8046,11237,Sona,CH08046,1/6/2026,Delivered Not Received,14,Resolved,Yes,5,Yes,35
8047,11230,Pawan,CH08047,1/16/2026,Payment Failed,9,Resolved,Yes,4,Yes,342
8048,11232,Vivek,CH08048,1/8/2026,Wrong Amount Charged,25,Resolved,Yes,5,Yes,49
8049,11234,Mohan,CH08049,1/25/2026,Order Cancelled Issue,13,Resolved,Yes,5,Yes,29
8050,11230,Pawan,CH08050,1/17/2026,Payment Failed,18,Transfer,Not sent,2,No,0
8051,11233,Naman,CH08051,1/1/2026,Order Cancelled Issue,16,Resolved,No,4,Yes,28
8052,11224,Jameel,CH08052,1/4/2026,Order Cancelled Issue,24,Resolved,Yes,5,Yes,76
8053,11221,Anuj,CH08053,1/21/2026,Payment Failed,15,Resolved,Yes,5,No,0
8054,11227,Godavari,CH08054,1/14/2026,Item Missing,13,Transfer,Not sent,2,No,0
8055,11232,Vivek,CH08055,1/3/2026,Stuck in Shipment,18,Transfer,Not sent,3,No,0
8056,11235,Kunal,CH08056,1/18/2026,Unknown Charge,10,Escalated,Yes,3,No,0
8057,11238,Shanti,CH08057,1/30/2026,Stuck in Shipment,19,Resolved,No response,4,No,0
8058,11232,Vivek,CH08058,1/15/2026,Order Cancelled Issue,16,Transfer,Not sent,2,No,0
8059,11232,Vivek,CH08059,1/25/2026,Order Cancelled Issue,19,Resolved,Yes,4,Yes,11
8060,11239,Sameer,CH08060,1/15/2026,Wrong Amount Charged,13,Resolved,No response,4,No,0
8061,11237,Sona,CH08061,1/22/2026,Stuck in Shipment,3,Resolved,No response,4,Yes,14
8062,11236,Shakshi,CH08062,1/11/2026,Payment Failed,15,Resolved,No,5,Yes,58
8063,11231,Venkat,CH08063,1/5/2026,Wrong Amount Charged,18,Resolved,No response,4,Yes,243
8064,11235,Kunal,CH08064,1/29/2026,Order Cancelled Issue,10,Resolved,No,4,Yes,79
8065,11231,Venkat,CH08065,1/5/2026,Item Missing,4,Resolved,No,4,Yes,15
8066,11230,Pawan,CH08066,1/5/2026,Account Locked,20,Escalated,No response,3,No,0
8067,11234,Mohan,CH08067,1/13/2026,Whole Package Missing,3,Transfer,Not sent,3,No,0
8068,11234,Mohan,CH08068,1/12/2026,Order Cancelled Issue,8,Parked,Not sent,3,No,0
8069,11235,Kunal,CH08069,1/7/2026,Account Locked,23,Resolved,No,5,Yes,58
8070,11230,Pawan,CH08070,1/30/2026,Unknown Charge,17,Resolved,No response,5,No,0
8071,11224,Jameel,CH08071,1/16/2026,Payment Failed,14,Escalated,No response,2,No,0
8072,11233,Naman,CH08072,1/19/2026,Delivered Not Received,14,Resolved,No response,5,Yes,34
8073,11232,Vivek,CH08073,1/12/2026,Refund Not Received,22,Resolved,No,4,Yes,305
8074,11234,Mohan,CH08074,1/20/2026,Refund Not Received,14,Parked,Not sent,2,No,0
8075,11232,Vivek,CH08075,1/14/2026,Refund Not Received,17,Transfer,Not sent,4,No,0
8076,11222,Amit,CH08076,1/30/2026,Account Locked,10,Transfer,Not sent,3,No,0
8077,11221,Anuj,CH08077,1/24/2026,Payment Failed,19,Parked,Not sent,2,No,0
8078,11223,Neha,CH08078,1/8/2026,Unknown Charge,17,Resolved,Yes,5,No,0
8079,11230,Pawan,CH08079,1/6/2026,Unknown Charge,3,Resolved,Yes,5,Yes,84
8080,11225,Kareem,CH08080,1/1/2026,Whole Package Missing,17,Resolved,Yes,5,Yes,37
8081,11234,Mohan,CH08081,1/9/2026,Account Locked,12,Resolved,No,4,Yes,31
8082,11223,Neha,CH08082,1/16/2026,Delivered Not Received,16,Resolved,No response,4,Yes,65
8083,11224,Jameel,CH08083,1/19/2026,Account Locked,21,Transfer,Not sent,2,No,0
8084,11234,Mohan,CH08084,1/15/2026,Refund Not Received,21,Resolved,No response,4,Yes,58
8085,11235,Kunal,CH08085,1/9/2026,Stuck in Shipment,9,Resolved,Yes,5,Yes,40
8086,11226,Akash,CH08086,1/2/2026,Account Locked,3,Escalated,Yes,1,No,0
8087,11232,Vivek,CH08087,1/23/2026,Account Locked,22,Resolved,No response,5,Yes,96
8088,11240,Santosh,CH08088,1/26/2026,Unknown Charge,15,Transfer,Not sent,2,No,0
8089,11237,Sona,CH08089,1/30/2026,Whole Package Missing,24,Transfer,Not sent,4,No,0
8090,11240,Santosh,CH08090,1/10/2026,Account Locked,25,Resolved,Yes,5,No,0
8091,11231,Venkat,CH08091,1/30/2026,Wrong Amount Charged,10,Resolved,Yes,5,Yes,74
8092,11240,Santosh,CH08092,1/12/2026,Wrong Amount Charged,19,Resolved,No response,5,No,0
8093,11229,Sirisha,CH08093,1/3/2026,Unknown Charge,3,Resolved,Yes,5,Yes,56
8094,11239,Sameer,CH08094,1/1/2026,Unknown Charge,13,Resolved,Yes,4,Yes,41
8095,11228,Muskan,CH08095,1/11/2026,Delivered Not Received,9,Resolved,Yes,4,No,0
8096,11228,Muskan,CH08096,1/18/2026,Delivered Not Received,10,Resolved,Yes,4,No,0
8097,11223,Neha,CH08097,1/12/2026,Stuck in Shipment,4,Resolved,No,5,Yes,20
8098,11226,Akash,CH08098,1/9/2026,Delivered Not Received,18,Resolved,No response,4,Yes,350
8099,11240,Santosh,CH08099,1/19/2026,Wrong Amount Charged,19,Resolved,Yes,4,Yes,56
8100,11223,Neha,CH08100,1/1/2026,Stuck in Shipment,22,Resolved,No response,5,Yes,57
8101,11224,Jameel,CH08101,1/26/2026,Delivered Not Received,9,Resolved,Yes,4,Yes,45
8102,11225,Kareem,CH08102,1/30/2026,Refund Not Received,22,Transfer,Not sent,2,No,0
8103,11221,Anuj,CH08103,1/7/2026,Item Missing,23,Resolved,Yes,4,Yes,83
8104,11227,Godavari,CH08104,1/9/2026,Wrong Amount Charged,12,Resolved,Yes,4,Yes,67
8105,11230,Pawan,CH08105,1/10/2026,Payment Failed,9,Escalated,Yes,2,No,0
8106,11223,Neha,CH08106,1/6/2026,Order Cancelled Issue,23,Resolved,Yes,5,No,0
8107,11228,Muskan,CH08107,1/1/2026,Refund Not Received,10,Resolved,No response,5,Yes,58
8108,11240,Santosh,CH08108,1/27/2026,Unknown Charge,3,Resolved,Yes,4,Yes,76
8109,11235,Kunal,CH08109,1/16/2026,Payment Failed,7,Resolved,No response,5,No,0
8110,11224,Jameel,CH08110,1/30/2026,Account Locked,9,Resolved,Yes,4,Yes,23
8111,11240,Santosh,CH08111,1/12/2026,Stuck in Shipment,5,Resolved,No response,5,Yes,89
8112,11237,Sona,CH08112,1/7/2026,Whole Package Missing,6,Resolved,Yes,4,Yes,26
8113,11229,Sirisha,CH08113,1/28/2026,Order Cancelled Issue,10,Transfer,Not sent,4,No,0
8114,11236,Shakshi,CH08114,1/8/2026,Order Cancelled Issue,22,Resolved,No response,5,Yes,13
8115,11230,Pawan,CH08115,1/26/2026,Account Locked,15,Escalated,Yes,3,No,0
8116,11225,Kareem,CH08116,1/23/2026,Unknown Charge,19,Resolved,Yes,4,Yes,299
8117,11237,Sona,CH08117,1/2/2026,Refund Not Received,19,Parked,Not sent,3,No,0
8118,11235,Kunal,CH08118,1/4/2026,Unknown Charge,16,Resolved,No response,4,Yes,74
8119,11223,Neha,CH08119,1/9/2026,Item Missing,12,Transfer,Not sent,2,No,0
8120,11230,Pawan,CH08120,1/27/2026,Refund Not Received,22,Parked,Not sent,2,No,0
8121,11238,Shanti,CH08121,1/14/2026,Wrong Amount Charged,8,Resolved,No response,5,Yes,48
8122,11234,Mohan,CH08122,1/22/2026,Delivered Not Received,25,Parked,Not sent,3,No,0
8123,11225,Kareem,CH08123,1/19/2026,Stuck in Shipment,21,Resolved,Yes,5,Yes,47
8124,11226,Akash,CH08124,1/4/2026,Account Locked,23,Parked,Not sent,2,No,0
8125,11223,Neha,CH08125,1/27/2026,Whole Package Missing,15,Resolved,Yes,4,Yes,38
8126,11232,Vivek,CH08126,1/8/2026,Account Locked,5,Resolved,Yes,4,Yes,64
8127,11230,Pawan,CH08127,1/5/2026,Order Cancelled Issue,11,Resolved,No response,5,Yes,30
8128,11230,Pawan,CH08128,1/16/2026,Refund Not Received,14,Resolved,No response,5,No,0
8129,11233,Naman,CH08129,1/10/2026,Refund Not Received,17,Resolved,No response,5,No,0
8130,11231,Venkat,CH08130,1/1/2026,Order Cancelled Issue,16,Resolved,No response,4,Yes,60
8131,11227,Godavari,CH08131,1/21/2026,Account Locked,12,Transfer,Not sent,4,No,0
8132,11230,Pawan,CH08132,1/19/2026,Order Cancelled Issue,17,Resolved,Yes,5,Yes,79
8133,11240,Santosh,CH08133,1/26/2026,Unknown Charge,19,Transfer,Not sent,2,No,0
8134,11233,Naman,CH08134,1/26/2026,Refund Not Received,15,Resolved,No response,5,Yes,14
8135,11230,Pawan,CH08135,1/29/2026,Wrong Amount Charged,25,Resolved,No response,5,No,0
